>>>>>>>>>>	LISTA P-R SOMA	>>>>>>>>>>
	-> 5520	-> 1.000531
	-> 01:54:59	-> 5452	-> 5489
	-> 02:00:59	-> 5449	-> 5491
	-> 02:04:59	-> 5449	-> 5496
	-> 02:10:59	-> 5450	-> 5492
	-> 02:14:59	-> 5452	-> 5499
	-> 02:20:59	-> 5456	-> 5504
	-> 02:24:59	-> 5454	-> 5483
	-> 02:30:59	-> 5458	-> 5481
	-> 02:34:59	-> 5446	-> 5508
	-> 02:40:59	-> 5446	-> 5505
	-> 02:50:59	-> 5444	-> 5505
	-> 02:54:59	-> 5454	-> 5492
<<<<<<<<<<
